Country,C,D,E,G,GDP,HDI,CPI,RQ,CC,EF,N,AC,BFI,CredC,DebC,RDP,DEP
Namibia,0.021,6.43,0.584,59.1,10299.512,0.65,52,50.96,65.87,58.7,33.34,80.63,16.94,15.38,65.08,60.07,73.0
Nepal,0.049,5.28,0.521,32.8,4142.178,0.6,34,24.04,27.4,53.8,32.96,45.39,13.64,0.67,8.73,11.08,53.5
Netherlands,0.183,9.01,0.914,28.5,59516.936,0.94,82,98.08,96.63,76.8,81.78,99.64,37.37,39.1,98.81,76.73,92.47
New Zealand,0.075,9.26,0.926,34.4,43689.071,0.93,87,99.04,100.0,84.4,73.97,99.18,66.48,60.87,96.18,81.72,95.13
Nicaragua,0.02,3.55,0.573,46.2,5651.147,0.66,22,25.0,12.5,57.7,45.24,30.86,13.43,4.94,15.7,16.08,37.65
Nigeria,0.459,4.12,0.499,43.0,5352.672,0.54,26,17.79,12.98,57.3,28.22,39.67,5.3,2.59,31.55,22.84,77.6
Norway,0.072,9.87,0.93,27.0,65904.563,0.96,84,97.12,97.12,73.0,81.3,99.75,69.46,70.5,98.09,89.86,97.78
Oman,0.008,3.06,0.718,30.5,30653.98,0.81,52,64.42,67.31,61.0,52.87,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan,0.272,4.25,0.402,33.5,5203.809,0.56,32,27.4,21.15,55.0,33.38,21.29,2.64,0.97,8.3,8.51,36.84
Panama,0.094,7.05,0.7,49.2,32975.955,0.82,36,64.9,30.77,67.2,46.96,46.49,13.3,8.0,29.26,21.19,54.46
Paraguay,0.015,6.24,0.638,46.2,13021.816,0.73,28,46.63,22.12,61.8,40.55,48.65,15.39,6.55,15.45,28.18,46.12
Peru,0.242,6.6,0.74,42.8,13327.718,0.78,36,71.63,36.54,67.8,45.68,42.6,19.06,11.57,27.92,23.53,59.38
Philippines,0.262,6.64,0.678,44.4,9356.442,0.72,34,55.29,31.25,63.8,47.7,34.5,10.7,1.94,21.01,20.13,68.88
Poland,0.137,6.62,0.869,29.7,34624.263,0.88,58,81.25,71.15,67.8,61.46,86.73,30.51,16.52,79.34,61.5,94.19
Portugal,0.126,8.03,0.768,33.8,36400.144,0.86,62,77.88,77.4,65.3,65.56,92.34,28.88,33.59,82.92,57.75,85.38
Qatar,0.01,3.19,0.659,30.5,95107.743,0.85,62,74.04,79.33,72.6,63.73,0.0,0.0,0.0,0.0,0.0,0.0
Romania,0.112,6.49,0.765,36.0,31243.656,0.83,44,67.31,51.44,68.6,55.47,57.75,19.86,11.72,49.36,41.06,81.55
Russia,0.931,3.11,0.823,37.5,28450.207,0.82,28,36.06,21.63,58.9,54.98,75.76,23.03,20.08,56.57,55.79,62.17
Rwanda,0.049,3.16,0.458,43.7,2362.728,0.54,53,58.17,70.67,71.1,39.97,50.02,8.09,0.73,4.7,27.8,58.9
Saudi Arabia,0.036,1.93,0.802,30.5,49216.192,0.85,53,51.92,62.98,60.7,56.49,71.7,21.08,16.27,66.84,33.97,68.75
Senegal,0.029,5.81,0.345,40.3,3503.619,0.51,45,50.0,59.13,56.3,33.67,42.34,7.82,2.83,9.57,26.94,38.46
Serbia,0.073,6.41,0.783,36.2,19026.994,0.81,39,60.1,37.02,63.9,53.65,71.44,19.7,17.62,59.68,57.05,85.35
Singapore,0.102,6.02,0.844,0.452,102573.465,0.94,85,100.0,99.52,89.4,82.13,97.93,46.9,48.9,91.85,69.35,89.9
Slovakia,0.143,7.17,0.826,25.2,34137.419,0.86,50,79.81,64.42,65.0,61.95,84.18,29.61,22.14,76.08,72.98,92.72
Slovenia,0.133,7.5,0.91,24.2,40879.323,0.92,60,80.29,80.29,65.5,66.89,97.53,40.2,42.17,94.02,77.88,88.44
South Africa,0.526,7.24,0.724,63.0,12961.702,0.71,44,61.54,59.62,58.3,47.38,69.22,13.5,8.87,34.13,48.82,58.56
Spain,0.138,8.18,0.831,34.7,42608.816,0.9,62,81.73,73.56,65.7,68.01,93.76,50.17,53.88,84.8,55.64,84.24
Sri Lanka,0.053,6.27,0.746,39.8,13622.869,0.75,38,47.6,44.23,56.4,42.42,73.65,17.37,5.34,32.26,21.59,47.92
Sudan,0.003,2.7,0.345,34.2,4310.324,0.51,16,3.85,7.69,47.7,32.83,8.57,3.35,1.44,2.35,5.81,0.0
Sudan,0.003,2.7,0.345,34.2,4310.324,0.51,16,3.85,7.69,47.7,32.83,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,0.117,9.39,0.918,28.8,55324.383,0.95,85,96.63,98.56,75.2,80.82,99.74,43.74,44.98,98.24,87.51,95.55
Switzerland,0.08,9.03,0.9,32.7,74744.585,0.96,85,94.71,96.15,81.9,81.08,98.43,62.39,65.47,88.46,67.45,81.17
Tajikistan,0.0,1.93,0.682,34.0,3543.752,0.67,25,12.02,9.13,55.6,34.9,47.02,15.48,5.68,15.86,28.45,27.75
Tanzania,0.081,5.16,0.429,40.5,2840.653,0.53,37,27.88,40.87,60.2,30.73,46.75,5.29,0.54,13.27,29.05,41.86
Thailand,0.365,6.32,0.682,36.4,19233.878,0.78,36,60.58,39.42,68.3,51.54,81.59,20.4,9.8,59.85,47.93,67.69
Togo,0.06,3.3,0.517,43.1,2210.976,0.52,29,25.96,25.48,50.3,28.22,45.29,9.14,3.51,13.45,18.24,38.13
Trinidad and Tobago,0.025,7.16,0.728,52.15,26920.092,0.8,40,49.52,49.04,57.0,49.29,80.78,27.49,15.96,60.8,46.06,68.37
Tunisia,0.014,6.72,0.661,32.8,11074.953,0.74,43,35.58,52.88,55.4,42.04,36.91,11.73,7.13,23.46,21.62,76.0
Turkey,0.174,4.09,0.731,41.9,29723.533,0.82,39,54.81,44.71,64.6,53.75,68.59,42.84,41.6,62.99,49.15,75.56
Uganda,0.079,5.02,0.523,42.8,2689.091,0.54,28,37.98,11.54,59.7,29.7,59.2,14.67,2.32,16.57,39.67,52.91
Ukraine,1.0,5.9,0.799,26.1,13442.094,0.78,30,42.31,26.44,52.3,48.91,62.9,21.76,26.68,49.42,52.33,66.18
United Arab Emirates,0.056,2.76,0.802,32.5,63589.803,0.89,71,78.37,83.65,77.6,65.45,88.21,46.13,45.44,82.86,67.41,81.37
United Kingdom,0.333,8.52,0.928,34.8,48603.041,0.93,77,93.75,93.75,78.9,77.73,96.37,64.75,65.37,91.45,75.51,91.38
United States,0.627,7.96,0.9,41.4,65253.518,0.93,69,88.94,84.62,76.8,80.32,93.12,68.36,65.6,80.23,64.98,93.42
Uzbekistan,0.013,2.01,0.729,29.7,7382.387,0.72,25,12.98,14.42,53.3,41.77,37.09,2.36,0.59,24.15,25.82,57.38
Venezuela,0.799,2.88,0.7,52.15,7344.079,0.71,16,0.48,4.33,25.9,34.14,73.49,27.66,28.85,66.07,46.32,82.86
Vietnam,0.443,3.08,0.63,35.7,10535.168,0.7,37,41.83,34.13,55.3,49.57,30.8,21.72,4.12,26.74,14.92,64.01
Yemen,0.005,1.95,0.35,36.7,2056.586,0.47,15,4.33,1.92,60.85,12.33,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,0.051,5.09,0.557,57.1,3526.397,0.58,34,31.25,28.37,53.6,26.2,45.86,10.41,4.27,19.56,28.79,45.49
Zimbabwe,0.0,3.16,0.587,44.3,2869.348,0.57,24,6.25,10.1,40.4,22.0,55.29,4.72,1.34,21.95,39.19,63.57
